Device: mps
[student-baseline] Epoch  37 | val_loss=0.2879 | val_acc=0.8974
[student-baseline] Early stopping at epoch 37
[student-baseline] Epoch   1 | val_loss=0.9004 | val_acc=0.6581
[student-baseline] Epoch   2 | val_loss=0.7782 | val_acc=0.7265
[student-baseline] Epoch   3 | val_loss=0.6699 | val_acc=0.7521
[student-baseline] Epoch   4 | val_loss=0.6111 | val_acc=0.7350
[student-baseline] Epoch   5 | val_loss=0.5305 | val_acc=0.8120
[student-baseline] Epoch   6 | val_loss=0.4876 | val_acc=0.7949
[student-baseline] Epoch   7 | val_loss=0.4595 | val_acc=0.8120
[student-baseline] Epoch   8 | val_loss=0.4389 | val_acc=0.8205
[student-baseline] Epoch   9 | val_loss=0.4910 | val_acc=0.7607
[student-baseline] Epoch  10 | val_loss=0.4909 | val_acc=0.7607
[student-baseline] Epoch  11 | val_loss=0.4620 | val_acc=0.7863
[student-baseline] Epoch  12 | val_loss=0.4113 | val_acc=0.8291
[student-baseline] Epoch  13 | val_loss=0.3957 | val_acc=0.8462
[student-baseline] Epoch  14 | val_loss=0.3623 | val_acc=0.8547
[student-baseline] Epoch  15 | val_loss=0.3644 | val_acc=0.8718
[student-baseline] Epoch  16 | val_loss=0.4546 | val_acc=0.8291
[student-baseline] Epoch  17 | val_loss=0.4036 | val_acc=0.8547
[student-baseline] Epoch  18 | val_loss=0.4014 | val_acc=0.8632
[student-baseline] Epoch  19 | val_loss=0.3709 | val_acc=0.8718
[student-baseline] Epoch  20 | val_loss=0.3339 | val_acc=0.8803
[student-baseline] Epoch  21 | val_loss=0.3558 | val_acc=0.8803
[student-baseline] Epoch  22 | val_loss=0.2952 | val_acc=0.8889
[student-baseline] Epoch  23 | val_loss=0.3413 | val_acc=0.8889
[student-baseline] Epoch  24 | val_loss=0.4036 | val_acc=0.8718
[student-baseline] Epoch  25 | val_loss=0.3787 | val_acc=0.8889
[student-baseline] Epoch  26 | val_loss=0.3268 | val_acc=0.8718
[student-baseline] Epoch  27 | val_loss=0.2962 | val_acc=0.8718
[student-baseline] Epoch  28 | val_loss=0.2848 | val_acc=0.8889
[student-baseline] Epoch  29 | val_loss=0.2674 | val_acc=0.8974
[student-baseline] Epoch  30 | val_loss=0.2821 | val_acc=0.9145
[student-baseline] Epoch  31 | val_loss=0.3182 | val_acc=0.9060
[student-baseline] Epoch  32 | val_loss=0.3362 | val_acc=0.8803
[student-baseline] Epoch  33 | val_loss=0.3102 | val_acc=0.9231
[student-baseline] Epoch  34 | val_loss=0.2910 | val_acc=0.9060
[student-baseline] Epoch  35 | val_loss=0.3491 | val_acc=0.9145
[student-baseline] Epoch  36 | val_loss=0.3282 | val_acc=0.9145
[student-baseline] Epoch  37 | val_loss=0.2986 | val_acc=0.9316
[student-baseline] Epoch  38 | val_loss=0.2918 | val_acc=0.9060
[student-baseline] Epoch  39 | val_loss=0.3153 | val_acc=0.8974
[student-baseline] Epoch  40 | val_loss=0.3476 | val_acc=0.8889
[student-baseline] Epoch  41 | val_loss=0.3271 | val_acc=0.8974
[student-baseline] Epoch  42 | val_loss=0.3197 | val_acc=0.8718
[student-baseline] Epoch  43 | val_loss=0.3118 | val_acc=0.8974
[student-baseline] Epoch  44 | val_loss=0.3136 | val_acc=0.8974
[student-baseline] Early stopping at epoch 44
[student-kd T=2 a=0.5] Epoch   1 | val_loss=0.9180 | val_acc=0.5214
[student-kd T=2 a=0.5] Epoch   2 | val_loss=0.7128 | val_acc=0.7179
[student-kd T=2 a=0.5] Epoch   3 | val_loss=0.6257 | val_acc=0.7778
[student-kd T=2 a=0.5] Epoch   4 | val_loss=0.5847 | val_acc=0.8120
[student-kd T=2 a=0.5] Epoch   5 | val_loss=0.5851 | val_acc=0.7863
[student-kd T=2 a=0.5] Epoch   6 | val_loss=0.6028 | val_acc=0.7436
[student-kd T=2 a=0.5] Epoch   7 | val_loss=0.5822 | val_acc=0.7350
[student-kd T=2 a=0.5] Epoch   8 | val_loss=0.6185 | val_acc=0.7350
[student-kd T=2 a=0.5] Epoch   9 | val_loss=0.5789 | val_acc=0.7265
[student-kd T=2 a=0.5] Epoch  10 | val_loss=0.4711 | val_acc=0.8205
[student-kd T=2 a=0.5] Epoch  11 | val_loss=0.4646 | val_acc=0.8120
[student-kd T=2 a=0.5] Epoch  12 | val_loss=0.4585 | val_acc=0.8034
[student-kd T=2 a=0.5] Epoch  13 | val_loss=0.4470 | val_acc=0.8034
[student-kd T=2 a=0.5] Epoch  14 | val_loss=0.3811 | val_acc=0.8291
[student-kd T=2 a=0.5] Epoch  15 | val_loss=0.3626 | val_acc=0.8462
[student-kd T=2 a=0.5] Epoch  16 | val_loss=0.3895 | val_acc=0.8462
[student-kd T=2 a=0.5] Epoch  17 | val_loss=0.3345 | val_acc=0.8376
[student-kd T=2 a=0.5] Epoch  18 | val_loss=0.3862 | val_acc=0.8376
[student-kd T=2 a=0.5] Epoch  19 | val_loss=0.3041 | val_acc=0.8718
